#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	15340	281	1.83	8135	53.03	3983	25.96	573	3.74	2368	15.44
Mouse	15340	13085	85.30	3	0.02	0	0.00	869	5.66	1383	9.02
Rat	15340	12919	84.22	2	0.01	0	0.00	702	4.58	1717	11.19
Drosophila	15340	15070	98.23	0	0.00	1	0.01	21	0.14	248	1.62
Worm	15340	15132	98.64	0	0.00	0	0.00	104	0.68	104	0.68
Yeast	15340	15045	98.08	0	0.00	0	0.00	3	0.02	292	1.90
Arabidopsis	15340	15022	97.92	0	0.00	0	0.00	15	0.10	303	1.98
Ecoli	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	15340	13758	89.69	0	0.00	0	0.00	181	1.18	1401	9.13
MT	15340	15294	99.70	0	0.00	0	0.00	43	0.28	3	0.02
PhiX	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	15340	15322	99.88	0	0.00	0	0.00	7	0.05	11	0.07
Adapters	15340	15329	99.93	2	0.01	0	0.00	1	0.01	8	0.05

%Hit_no_genomes: 1.71
