#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	9746	181	1.86	5218	53.54	2587	26.54	370	3.80	1390	14.26
Mouse	9746	8375	85.94	3	0.03	1	0.01	549	5.63	818	8.39
Rat	9746	8278	84.94	1	0.01	0	0.00	432	4.43	1035	10.62
Drosophila	9746	9565	98.15	0	0.00	0	0.00	12	0.12	169	1.73
Worm	9746	9607	98.57	0	0.00	0	0.00	63	0.65	76	0.78
Yeast	9746	9558	98.07	0	0.00	0	0.00	1	0.01	187	1.92
Arabidopsis	9746	9534	97.83	0	0.00	0	0.00	15	0.15	197	2.02
Ecoli	9746	9746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	9746	8826	90.56	0	0.00	0	0.00	89	0.91	831	8.53
MT	9746	9722	99.75	0	0.00	0	0.00	23	0.24	1	0.01
PhiX	9746	9746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	9746	9746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	9746	9731	99.85	1	0.01	0	0.00	5	0.05	9	0.09
Adapters	9746	9742	99.96	0	0.00	0	0.00	0	0.00	4	0.04

%Hit_no_genomes: 1.76
