#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	15340	1035	6.74	7607	49.59	3931	25.63	551	3.59	2216	14.45
Mouse	15340	13276	86.55	3	0.02	0	0.00	853	5.56	1208	7.87
Rat	15340	13069	85.19	2	0.01	1	0.01	661	4.31	1607	10.48
Drosophila	15340	15057	98.15	0	0.00	0	0.00	26	0.17	257	1.68
Worm	15340	15132	98.64	0	0.00	0	0.00	122	0.80	86	0.56
Yeast	15340	15051	98.12	0	0.00	0	0.00	6	0.04	283	1.84
Arabidopsis	15340	15012	97.86	0	0.00	0	0.00	18	0.12	310	2.02
Ecoli	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	15340	13907	90.66	0	0.00	0	0.00	199	1.30	1234	8.04
MT	15340	15285	99.64	0	0.00	0	0.00	54	0.35	1	0.01
PhiX	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	15340	15329	99.93	0	0.00	0	0.00	2	0.01	9	0.06
Adapters	15340	15339	99.99	0	0.00	0	0.00	0	0.00	1	0.01

%Hit_no_genomes: 6.69
